--------- beginning of kernel
--------- beginning of system
--------- beginning of main
12-09 20:04:17.014 10841 10841 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
--------- beginning of kernel
--------- beginning of system
--------- beginning of main
--------- beginning of kernel
--------- beginning of system
--------- beginning of main
12-09 20:19:26.568 11445 11445 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
12-09 20:19:57.441 11569 11569 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
--------- beginning of system
--------- beginning of kernel
--------- beginning of main
12-09 20:19:26.568 11445 11445 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
12-09 20:19:57.441 11569 11569 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
--------- beginning of system
--------- beginning of kernel
--------- beginning of main
12-09 20:22:59.836 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@81d8b47, DecodeNum=62, symName=QRCode, barocode=[B@4ee1f74, com.ubx.datawedge.symbology_name=QRCode, decodeTime=47, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@eb0ec9d, barcode=[B@7dac512, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=47, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:23:00.056 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@87bee0, DecodeNum=63, symName=QRCode, barocode=[B@734b599, com.ubx.datawedge.symbology_name=QRCode, decodeTime=33, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@e1c205e, barcode=[B@a8a9c3f, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=33, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:23:00.060 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@6921255, DecodeNum=63, symName=QRCode, barocode=[B@85e46a, com.ubx.datawedge.symbology_name=QRCode, decodeTime=33, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@896bd5b, barcode=[B@54289f8, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=33, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:23:00.326 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@215dd36, DecodeNum=64, symName=QRCode, barocode=[B@a79d437, com.ubx.datawedge.symbology_name=QRCode, decodeTime=40, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@e124da4, barcode=[B@24b370d, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=40, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:23:00.330 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@40d7cd3, DecodeNum=64, symName=QRCode, barocode=[B@3f8a010, com.ubx.datawedge.symbology_name=QRCode, decodeTime=40, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@e013709, barcode=[B@f3f5d0e, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=40, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:23:01.248 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@1afad3c, DecodeNum=65, symName=QRCode, barocode=[B@6fd3ac5, com.ubx.datawedge.symbology_name=QRCode, decodeTime=38, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@b183c1a, barcode=[B@1bdb34b, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0009, barcode_string=BOX-H-20260701-0009, com.ubx.datawedge.data_dispatch_time=38, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:23:01.253 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@3fbbe41, DecodeNum=65, symName=QRCode, barocode=[B@d6dffe6, com.ubx.datawedge.symbology_name=QRCode, decodeTime=38, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@db23927, barcode=[B@d7667d4, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0009, barcode_string=BOX-H-20260701-0009, com.ubx.datawedge.data_dispatch_time=38, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:23:01.594 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@a3472, DecodeNum=66, symName=QRCode, barocode=[B@27f40c3, com.ubx.datawedge.symbology_name=QRCode, decodeTime=34, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@fbc2d40, barcode=[B@868f479, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0009, barcode_string=BOX-H-20260701-0009, com.ubx.datawedge.data_dispatch_time=34, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:23:01.599 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@8b261f, DecodeNum=66, symName=QRCode, barocode=[B@bd6dd6c, com.ubx.datawedge.symbology_name=QRCode, decodeTime=34, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@f7b5f35, barcode=[B@687dfca, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0009, barcode_string=BOX-H-20260701-0009, com.ubx.datawedge.data_dispatch_time=34, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:23:01.839 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@a6458, DecodeNum=67, symName=QRCode, barocode=[B@30fb9b1, com.ubx.datawedge.symbology_name=QRCode, decodeTime=34, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@82c2e96, barcode=[B@f05ba17, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0009, barcode_string=BOX-H-20260701-0009, com.ubx.datawedge.data_dispatch_time=34, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
